name,age,movie,popcorn,snack,drinks,times,payment
전영철,30,웡카,구매안함,구매안함,제로콜라,일반,삼성 페이
박수민,20,웡카,일반,구매안함,스프라이트,일반,체크카드
김민수,20,외계인,어니언,맛밤,에이드,조조,삼성 페이
송영호,30,웡카,구매안함,오징어,물,일반,신용카드
김정남,60,외계인,구매안함,구매안함,환타,심야,체크카드
양준호,20,웡카,구매안함,구매안함,콜라,일반,삼성 페이
민지연,40,시민덕희,일반,구매안함,콜라,일반,신용카드
박도현,30,웡카,카라멜,나초,콜라,일반,삼성 페이
황준영,30,위시,어니언,구매안함,콜라,일반,삼성 페이
오현주,20,웡카,일반,나초,구매안함,일반,카카오페이
김미숙,40,웡카,어니언,나초,제로콜라,일반,삼성 페이
김민수,20,웡카,치즈,구매안함,물,심야,체크카드
김현주,20,웡카,구매안함,구매안함,물,일반,삼성 페이
김정호,50,웡카,구매안함,구매안함,환타,일반,체크카드
이영순,30,너의 이름은,구매안함,구매안함,환타,일반,삼성 페이
김경수,20,웡카,일반,구매안함,제로콜라,일반,체크카드
이옥자,40,너의 이름은,일반,핫도그,물,심야,신용카드
김주원,40,위시,구매안함,구매안함,제로콜라,일반,삼성 페이
김정호,20,위시,카라멜,오징어,에이드,일반,삼성 페이
류도현,20,외계인,구매안함,구매안함,콜라,일반,삼성 페이
윤수빈,50,시민덕희,구매안함,나초,콜라,일반,삼성 페이
김은서,30,시민덕희,카라멜,구매안함,아메리카노,조조,삼성 페이
김영희,20,위시,구매안함,구매안함,환타,일반,삼성 페이
김동현,60,웡카,구매안함,구매안함,환타,조조,신용카드
김윤서,20,웡카,구매안함,나초,물,일반,체크카드
송민석,20,웡카,일반,나초,스프라이트,조조,신용카드
김숙자,20,웡카,일반,오징어,제로콜라,일반,현금
송정호,40,도그맨,구매안함,맛밤,콜라,일반,삼성 페이
김주원,40,웡카,구매안함,나초,아메리카노,일반,삼성 페이
김민석,40,시민덕희,일반,맛밤,에이드,일반,신용카드
황민수,40,웡카,치즈,구매안함,아메리카노,일반,삼성 페이
이성훈,40,도그맨,구매안함,구매안함,아메리카노,조조,신용카드
김경숙,30,웡카,구매안함,맛밤,제로콜라,조조,삼성 페이
손춘자,30,웡카,카라멜,구매안함,물,일반,삼성 페이
박정수,20,웡카,일반,구매안함,제로콜라,일반,삼성 페이
이예진,20,시민덕희,치즈,구매안함,환타,일반,체크카드
김진우,20,웡카,카라멜,구매안함,물,일반,신용카드
김상훈,30,웡카,구매안함,나초,구매안함,조조,카카오페이
주현준,20,시민덕희,구매안함,구매안함,아메리카노,조조,신용카드
박수민,40,시민덕희,어니언,구매안함,콜라,일반,삼성 페이
강영순,50,도그맨,구매안함,맛밤,스프라이트,조조,현금
이지후,20,너의 이름은,일반,핫도그,스프라이트,일반,삼성 페이
송주원,40,웡카,구매안함,구매안함,물,일반,삼성 페이
박정호,20,웡카,카라멜,나초,물,일반,신용카드
이지연,30,웡카,치즈,구매안함,물,일반,체크카드
김도윤,30,시민덕희,어니언,구매안함,콜라,일반,체크카드
김경숙,30,외계인,일반,핫도그,스프라이트,일반,삼성 페이
김재현,20,시민덕희,구매안함,나초,구매안함,조조,삼성 페이
엄상철,30,시민덕희,구매안함,나초,아메리카노,일반,신용카드
허승민,30,웡카,구매안함,구매안함,스프라이트,일반,현금
안예지,30,도그맨,일반,구매안함,아메리카노,일반,신용카드
윤순옥,30,웡카,일반,맛밤,에이드,심야,삼성 페이
김서준,20,시민덕희,일반,핫도그,제로콜라,일반,신용카드
김영자,30,외계인,구매안함,나초,구매안함,일반,카카오페이
최선영,30,웡카,일반,구매안함,콜라,일반,삼성 페이
양성훈,20,위시,구매안함,구매안함,에이드,조조,카카오페이
남시우,30,위시,카라멜,구매안함,제로콜라,일반,삼성 페이
이상훈,40,웡카,구매안함,구매안함,콜라,일반,신용카드
최은정,30,위시,치즈,구매안함,에이드,일반,삼성 페이
이영미,20,너의 이름은,치즈,구매안함,제로콜라,일반,삼성 페이
김영철,30,너의 이름은,구매안함,맛밤,환타,심야,체크카드
김미숙,30,시민덕희,구매안함,핫도그,아메리카노,일반,삼성 페이
장선영,40,웡카,구매안함,나초,물,일반,신용카드
장서준,30,시민덕희,구매안함,나초,물,일반,카카오페이
김민수,40,너의 이름은,구매안함,구매안함,물,일반,신용카드
서서현,20,웡카,치즈,나초,물,조조,체크카드
서민수,30,도그맨,일반,구매안함,아메리카노,일반,신용카드
이아름,30,위시,어니언,맛밤,환타,조조,신용카드
서중수,20,웡카,일반,핫도그,물,일반,신용카드
장준서,20,웡카,치즈,구매안함,콜라,조조,삼성 페이
이영순,20,시민덕희,구매안함,맛밤,물,일반,카카오페이
박미영,20,웡카,어니언,핫도그,환타,심야,삼성 페이
이진우,20,시민덕희,구매안함,나초,제로콜라,일반,신용카드
김영호,30,위시,구매안함,구매안함,에이드,일반,신용카드
박정훈,20,시민덕희,일반,구매안함,물,일반,삼성 페이
강성현,40,너의 이름은,구매안함,나초,콜라,심야,삼성 페이
김영호,20,웡카,일반,구매안함,스프라이트,일반,카카오페이
이선영,20,웡카,구매안함,나초,환타,일반,삼성 페이
손지훈,20,시민덕희,구매안함,핫도그,콜라,일반,체크카드
권서준,30,시민덕희,구매안함,구매안함,환타,일반,삼성 페이
김순옥,50,너의 이름은,일반,맛밤,콜라,조조,신용카드
백숙자,30,웡카,구매안함,구매안함,물,일반,삼성 페이
김지아,60,도그맨,구매안함,나초,구매안함,심야,신용카드
권수민,20,시민덕희,치즈,맛밤,제로콜라,일반,카카오페이
윤민지,60,너의 이름은,구매안함,구매안함,아메리카노,일반,삼성 페이
최혜진,40,웡카,어니언,구매안함,제로콜라,일반,현금
박정호,20,웡카,구매안함,핫도그,구매안함,일반,카카오페이
박정숙,30,시민덕희,구매안함,핫도그,아메리카노,일반,신용카드
최영길,40,웡카,일반,나초,에이드,일반,삼성 페이
김민준,30,외계인,일반,구매안함,스프라이트,일반,삼성 페이
권종수,20,시민덕희,구매안함,나초,에이드,조조,신용카드
박서준,50,시민덕희,구매안함,구매안함,에이드,일반,신용카드
김진우,20,너의 이름은,구매안함,구매안함,구매안함,심야,체크카드
김예진,20,웡카,일반,나초,제로콜라,조조,체크카드
김상호,30,도그맨,일반,구매안함,콜라,일반,삼성 페이
박광수,50,시민덕희,구매안함,구매안함,구매안함,일반,신용카드
이재현,30,시민덕희,구매안함,나초,구매안함,일반,신용카드
배은경,20,웡카,구매안함,나초,아메리카노,일반,체크카드
백은정,20,너의 이름은,어니언,나초,물,일반,신용카드
이영호,50,너의 이름은,구매안함,구매안함,물,조조,신용카드
박정수,50,외계인,구매안함,나초,콜라,일반,삼성 페이
김춘자,30,시민덕희,구매안함,핫도그,스프라이트,일반,삼성 페이
김승민,20,시민덕희,일반,나초,물,일반,신용카드
장민준,40,웡카,구매안함,구매안함,구매안함,일반,삼성 페이
이현숙,30,외계인,구매안함,오징어,물,일반,삼성 페이
송동현,20,웡카,일반,나초,물,일반,신용카드
유은경,30,위시,구매안함,구매안함,구매안함,조조,삼성 페이
최은주,60,웡카,카라멜,나초,아메리카노,조조,신용카드
이준영,50,웡카,구매안함,구매안함,물,일반,삼성 페이
차서연,40,위시,어니언,구매안함,구매안함,일반,현금
우은영,40,웡카,구매안함,구매안함,환타,조조,신용카드
문영환,30,너의 이름은,구매안함,구매안함,제로콜라,일반,삼성 페이
이선영,20,외계인,구매안함,나초,물,심야,삼성 페이
이서연,20,웡카,일반,구매안함,구매안함,조조,삼성 페이
백은서,20,시민덕희,카라멜,나초,물,일반,삼성 페이
송정웅,30,너의 이름은,치즈,구매안함,물,일반,신용카드
하경숙,40,외계인,치즈,구매안함,스프라이트,일반,삼성 페이
이성현,20,시민덕희,구매안함,구매안함,물,일반,카카오페이
이영미,40,시민덕희,치즈,구매안함,환타,조조,삼성 페이
한수빈,30,웡카,일반,구매안함,제로콜라,일반,삼성 페이
권지원,20,도그맨,치즈,핫도그,에이드,일반,삼성 페이
이승민,40,웡카,일반,구매안함,아메리카노,일반,삼성 페이
이정수,30,너의 이름은,구매안함,나초,물,조조,카카오페이
박윤서,50,웡카,구매안함,핫도그,구매안함,조조,신용카드
김광수,60,외계인,카라멜,구매안함,물,심야,신용카드
이하은,50,시민덕희,구매안함,구매안함,환타,일반,삼성 페이
박정순,30,위시,구매안함,구매안함,콜라,일반,삼성 페이
박준호,20,시민덕희,카라멜,핫도그,물,일반,체크카드
권지현,30,시민덕희,구매안함,구매안함,에이드,일반,삼성 페이
윤지원,20,웡카,일반,구매안함,스프라이트,조조,신용카드
최수민,40,웡카,구매안함,나초,스프라이트,일반,신용카드
이서연,40,웡카,구매안함,나초,환타,조조,신용카드
한성호,50,시민덕희,어니언,나초,물,심야,신용카드
박영일,20,시민덕희,구매안함,구매안함,콜라,일반,삼성 페이
김지후,20,시민덕희,구매안함,구매안함,물,일반,삼성 페이
김미정,30,웡카,어니언,핫도그,아메리카노,일반,현금
김정순,40,너의 이름은,구매안함,구매안함,환타,일반,삼성 페이
김현준,50,시민덕희,구매안함,구매안함,구매안함,조조,현금
진은영,20,웡카,카라멜,구매안함,아메리카노,일반,신용카드
이수빈,50,웡카,일반,나초,아메리카노,조조,삼성 페이
권우진,20,웡카,구매안함,맛밤,스프라이트,일반,신용카드
박옥순,20,웡카,구매안함,나초,콜라,일반,삼성 페이
안명자,40,위시,구매안함,구매안함,구매안함,일반,삼성 페이
박승현,20,외계인,일반,핫도그,콜라,조조,신용카드
김지민,40,시민덕희,구매안함,나초,에이드,일반,체크카드
김은경,20,외계인,치즈,핫도그,에이드,일반,체크카드
김지현,30,시민덕희,구매안함,나초,물,일반,삼성 페이
이정호,40,위시,구매안함,구매안함,스프라이트,일반,삼성 페이
김영미,20,외계인,치즈,구매안함,구매안함,조조,신용카드
이지현,40,외계인,구매안함,구매안함,스프라이트,일반,삼성 페이
이지현,20,웡카,치즈,핫도그,환타,일반,신용카드
홍미경,30,너의 이름은,카라멜,구매안함,물,일반,현금
이숙자,30,너의 이름은,일반,나초,아메리카노,일반,삼성 페이
최중수,60,너의 이름은,구매안함,구매안함,스프라이트,일반,신용카드
안정순,20,웡카,치즈,구매안함,아메리카노,일반,삼성 페이
이지은,30,웡카,어니언,구매안함,구매안함,일반,삼성 페이
이지민,20,너의 이름은,일반,구매안함,물,일반,신용카드
송승민,50,웡카,구매안함,구매안함,물,일반,신용카드
윤지아,20,시민덕희,구매안함,구매안함,물,일반,삼성 페이
유예준,20,도그맨,어니언,구매안함,아메리카노,일반,신용카드
문옥순,40,시민덕희,카라멜,핫도그,스프라이트,일반,삼성 페이
최우진,30,시민덕희,구매안함,구매안함,에이드,일반,현금
송재현,30,시민덕희,구매안함,구매안함,물,심야,신용카드
김민석,30,시민덕희,구매안함,핫도그,콜라,조조,신용카드
김시우,30,도그맨,카라멜,나초,환타,심야,신용카드
최영진,30,웡카,구매안함,나초,아메리카노,일반,신용카드
장재호,40,시민덕희,어니언,나초,제로콜라,조조,체크카드
김주원,20,웡카,구매안함,구매안함,콜라,일반,체크카드
이지영,20,웡카,구매안함,구매안함,아메리카노,일반,현금
성경자,50,도그맨,구매안함,구매안함,구매안함,일반,삼성 페이
김명숙,20,시민덕희,구매안함,나초,구매안함,조조,삼성 페이
박예진,30,웡카,치즈,구매안함,에이드,일반,삼성 페이
신현주,20,위시,구매안함,구매안함,물,조조,삼성 페이
이경숙,30,웡카,일반,구매안함,스프라이트,일반,체크카드
송상훈,40,웡카,구매안함,구매안함,아메리카노,조조,신용카드
김경수,30,외계인,구매안함,구매안함,물,심야,삼성 페이
홍민재,30,웡카,어니언,핫도그,구매안함,심야,삼성 페이
김지민,20,너의 이름은,구매안함,구매안함,제로콜라,조조,삼성 페이
김성호,20,웡카,일반,나초,에이드,일반,신용카드
송민수,20,웡카,구매안함,핫도그,에이드,일반,신용카드
박정순,30,웡카,구매안함,핫도그,구매안함,일반,삼성 페이
정성진,50,너의 이름은,일반,구매안함,구매안함,심야,삼성 페이
최명자,60,웡카,구매안함,구매안함,물,일반,신용카드
김영자,60,위시,구매안함,나초,제로콜라,일반,삼성 페이
강도현,20,웡카,구매안함,구매안함,환타,일반,신용카드
김예원,30,시민덕희,카라멜,구매안함,콜라,조조,삼성 페이
김영철,20,웡카,구매안함,구매안함,환타,일반,신용카드
김영숙,40,도그맨,구매안함,구매안함,스프라이트,조조,삼성 페이
이미숙,50,너의 이름은,일반,핫도그,환타,일반,삼성 페이
황수민,20,웡카,일반,구매안함,물,일반,삼성 페이
성현주,40,웡카,구매안함,구매안함,물,일반,삼성 페이
김하윤,20,웡카,일반,핫도그,제로콜라,일반,삼성 페이
김지현,30,위시,구매안함,오징어,환타,조조,삼성 페이
권지원,30,시민덕희,구매안함,구매안함,아메리카노,조조,현금
이하은,20,웡카,구매안함,구매안함,물,일반,카카오페이
송옥순,20,시민덕희,일반,나초,구매안함,일반,삼성 페이
하재현,40,시민덕희,일반,구매안함,물,일반,현금
